post_title	post_name	sku	parent_sku	children	stock	regular_price	sold_individually	tax_status	product_url	images	product_page_url
"HS429 Marathon Racer 16x1.50 (40-305)"	hs429-marathon-racer-16x1-50-40-305	SNA11100296				45.000000	no	taxable		"https://49b.pfcd.ca/wp-content/uploads/2024/04/HS429_MarathonRacer.jpg ! alt :  ! title : HS429_MarathonRacer ! desc :  ! caption : "	https://49b.pfcd.ca/product/hs429-marathon-racer-16x1-50-40-305/
"K50 Knobby - Black 16x2.125(57-305)"	k50-knobby-black-16x2-12557-305	K01165505001				15.000000	no	taxable		"https://49b.pfcd.ca/wp-content/uploads/2024/04/K50_gy.jpg ! alt :  ! title : K50_gy ! desc :  ! caption : "	https://49b.pfcd.ca/product/k50-knobby-black-16x2-12557-305/
"K123 Street 18x1.75 (47-355)"	k123-street-18x1-75-47-355	K25184512314				15.000000	no	taxable		"https://49b.pfcd.ca/wp-content/uploads/2024/04/k1236.jpg ! alt :  ! title : k1236 ! desc :  ! caption : "	https://49b.pfcd.ca/product/k123-street-18x1-75-47-355/
"K103 Street - Grey 18x1 3/8 (37-400)"	k103-street-grey-18x1-3-8-37-400	K25182010314				15.000000	no	taxable		"https://49b.pfcd.ca/wp-content/uploads/2024/04/K103_Street_200x200.jpg ! alt :  ! title : K103_Street_200x200 ! desc :  ! caption : "	https://49b.pfcd.ca/product/k103-street-grey-18x1-3-8-37-400/
"Marathon Winter Plus, HS396 Reflex 20x2.15 (55-406)"	marathon-winter-plus-hs396-reflex-20x2-15-55-406	SNA11159003				102.000000	no	taxable		"https://49b.pfcd.ca/wp-content/uploads/2024/04/SNA11100599.01_200x200.png ! alt :  ! title : SNA11100599.01_200x200 ! desc :  ! caption : "	https://49b.pfcd.ca/product/marathon-winter-plus-hs396-reflex-20x2-15-55-406/
"K42 Knobby 20x2.125 (57-406)"	k42-knobby-20x2-125-57-406	K25205504217				15.000000	no	taxable		"https://49b.pfcd.ca/wp-content/uploads/2024/04/k42.jpg ! alt :  ! title : k42 ! desc :  ! caption : "	https://49b.pfcd.ca/product/k42-knobby-20x2-125-57-406/
"k193 Kwest - Black 20x1.25 (32-406)"	k193-kwest-black-20x1-25-32-406	K212167				29.000000	no	taxable		"https://49b.pfcd.ca/wp-content/uploads/2024/04/K193_Black.jpg ! alt :  ! title : K193_Black ! desc :  ! caption : "	https://49b.pfcd.ca/product/k193-kwest-black-20x1-25-32-406/
"K1046 Karrumba 20x1.95 (50-406)"	k1046-karrumba-20x1-95-50-406	K212070				22.000000	no	taxable		"https://49b.pfcd.ca/wp-content/uploads/2024/04/K1046_Karumba.jpg ! alt :  ! title : K1046_Karumba ! desc :  ! caption : "	https://49b.pfcd.ca/product/k1046-karrumba-20x1-95-50-406/
"HS399 Durano 20x1.10 (28-406)"	hs399-durano-20x1-10-28-406	SNA11100113				55.000000	no	taxable		"https://49b.pfcd.ca/wp-content/uploads/2024/04/HS399_Durano.jpg ! alt :  ! title : HS399_Durano ! desc :  ! caption : "	https://49b.pfcd.ca/product/hs399-durano-20x1-10-28-406/
"HS331 Jumpin Jack 20x2.10 (54-406)"	hs331-jumpin-jack-20x2-10-54-406	SNA11100134.02				35.000000	no	taxable		"https://49b.pfcd.ca/wp-content/uploads/2024/04/HS331_JumpinJack.jpg ! alt :  ! title : HS331_JumpinJack ! desc :  ! caption : "	https://49b.pfcd.ca/product/hs331-jumpin-jack-20x2-10-54-406/
"C1157 V-Monster 20x2.10 (52-406)"	c1157-v-monster-20x2-10-52-406	2TY012				35.000000	no	taxable		"https://49b.pfcd.ca/wp-content/uploads/2024/04/2TY012.jpg ! alt :  ! title : 2TY012 ! desc :  ! caption : "	https://49b.pfcd.ca/product/c1157-v-monster-20x2-10-52-406/
"HS440 Marathon Plus Reflex 20x1.75 (47-406)"	hs440-marathon-plus-reflex-20x1-75-47-406	SNA11100758				75.000000	no	taxable		"https://49b.pfcd.ca/wp-content/uploads/2024/04/HS440.jpg ! alt :  ! title : HS440 ! desc :  ! caption : "	https://49b.pfcd.ca/product/hs440-marathon-plus-reflex-20x1-75-47-406/
"Creepy Crawler 20x2.0 (54-406)"	creepy-crawler-20x2-0-54-406	B71.01.05				44.000000	no	taxable		"https://49b.pfcd.ca/wp-content/uploads/2024/04/CreepyCrawler.jpg ! alt :  ! title : CreepyCrawler ! desc :  ! caption : "	https://49b.pfcd.ca/product/creepy-crawler-20x2-0-54-406/
