product_name,product_sku,virtuemart_product_id,category_name,picture_url,product_discount,product_in_stock,product_price,product_sales,salesprice,taxamount,,
22'' Natural Fit LT - 6 Tab,3PR005LT,338,,/images/stories/virtuemart/product/3PR005.jpg,,,180,,180,0,,
24'' Natural Fit LT - 6 Tab,3PR010LT,339,,/images/stories/virtuemart/product/3PR005.jpg,,,180,,180,0,,
25'' Natural Fit LT - 6 Tab,3PR025LT,340,,/images/stories/virtuemart/product/3PR005.jpg,,,180,,180,0,,
26'' Natural Fit LT - 6 Tab,3PR035LT,341,,/images/stories/virtuemart/product/3PR005.jpg,,,180,,180,0,,
TG Std Thumb Piece - Black Coating,3PR-2201,343,Push Rims,/images/stories/virtuemart/product/3PR-2201.jpg,,,115,,115,0,,
24'' TG Std Thumb Piece - Black Coating,3PR-2401,344,,/images/stories/virtuemart/product/3PR-2201.jpg,,,115,,115,0,,
25'' TG Std Thumb Piece - Black Coating,3PR-2501,345,,/images/stories/virtuemart/product/3PR-2201.jpg,,,115,,115,0,,
26'' TG Std Thumb Piece - Black Coating,3PR-2601,346,,/images/stories/virtuemart/product/3PR-2201.jpg,,,115,,115,0,,
22'' TG Supergrip Thumb Piece - Black Coating,3PR-2203,347,,/images/stories/virtuemart/product/3PR-2201.jpg,,,115,,115,0,,
24'' TG Supergrip Thumb Piece - Black Coating,3PR-2403,348,,/images/stories/virtuemart/product/3PR-2201.jpg,,,115,,115,0,,
25'' TG Supergrip Thumb Piece - Black Coating,3PR-2503,349,,/images/stories/virtuemart/product/3PR-2201.jpg,,,115,,115,0,,
26'' TG Supergrip Thumb Piece - Black Coating,3PR-2603,350,,/images/stories/virtuemart/product/3PR-2201.jpg,,,115,,115,0,,
Surge - 6 Tabs,3PR045,352,Push Rims,/images/stories/virtuemart/product/3PR045.jpg,,,280,,280,0,,
25'' Surge - 6 Tabs,3PR050,353,,/images/stories/virtuemart/product/3PR045.jpg,,,280,,280,0,,
26'' Surge - 6 Tabs,3PR055,354,,/images/stories/virtuemart/product/3PR045.jpg,,,280,,280,0,,
24'' Surge LT - 6 Tabs,3PR045LT,355,,/images/stories/virtuemart/product/3PR045LT.jpg,,,280,,280,0,,
25'' Surge LT - 6 Tabs,3PR050LT,356,,/images/stories/virtuemart/product/3PR045LT.jpg,,-2,280,2,280,0,,
26'' Surge LT - 6 Tabs,3PR055LT,357,,/images/stories/virtuemart/product/3PR045LT.jpg,,,280,,280,0,,
Blax Everyday Grip PushRims - 6 tab,2PR-540AGX,359,Push Rims,/images/stories/virtuemart/product/2PR-540AGX.jpg,,,350,,350,0,,
Everyday Grip Push Rim - 6 tab,2PR-559AGX,361,,/images/stories/virtuemart/product/2PR-540AGX.jpg,,,350,,350,0,,
24 (540) Active Grip Push Rim - 6 tab,2PR-540AGX-L,362,,/images/stories/virtuemart/product/2PR-540AGX.jpg,,,280,,280,0,,
25 (559) Active Grip Push Rim - 6 tab,2PR-559AGX-L,363,,/images/stories/virtuemart/product/2PR-540AGX.jpg,,,280,,280,0,,
24'' Rough Rider - Black,2PR.24. RB-S-BB,365,,/images/stories/virtuemart/product/2PR-24-RB-S-BB.jpg,,,400,,400,0,,
24'' Rough Rider - White,2PR.24. RW-S-WW,366,,/images/stories/virtuemart/product/2PR-24-RB-S-BB.jpg,,,400,,400,0,,
Rough Rider,2PR.25. RB-S-BB,367,Push Rims,/images/stories/virtuemart/product/2PR-24-RB-S-BB.jpg,,,400,,400,0,,
25'' Rough Rider - Orange,2PR.25. RO-S-OB,368,,/images/stories/virtuemart/product/2PR-24-RB-S-BB.jpg,,,400,,400,0,,
25'' Rough Rider - White,2PR.25. RW-S-WW,369,,/images/stories/virtuemart/product/2PR-24-RB-S-BB.jpg,,,400,,400,0,,
